0,35,34,968,78,19,64,33,323,179,13,2803,107,57,157,7,224,1,58,0,128,8
1,47,46,2132,95,39,89,45,441,248,14,2484,113,18,125,6,145,5,30,1,175,5
2,7,6,109,12,3,10,5,38,25,5,87,22,4,23,2,3,1,1,0,13,0
3,23,22,478,58,5,42,21,211,116,11,2824,79,50,121,8,242,0,50,0,133,8
4,23,22,356,50,12,41,21,190,99,14,1532,55,48,98,4,90,3,69,2,149,3
5,19,18,509,32,18,33,17,154,88,12,1138,65,9,70,4,59,6,40,0,118,7
6,29,28,614,59,20,52,27,252,136,12,3141,110,55,156,8,183,4,47,1,192,4
7,24,23,811,48,17,43,22,250,160,13,1609,76,24,94,5,122,5,27,0,93,6
8,35,34,1173,87,11,65,33,354,220,12,1951,72,26,93,4,166,3,45,1,169,13
9,21,20,920,38,18,37,19,192,116,14,1965,93,18,106,5,132,2,40,1,83,6
10,39,38,711,104,8,75,37,377,194,15,5172,110,154,256,8,294,2,64,1,186,6
11,14,13,423,25,10,23,12,125,89,8,304,28,2,28,2,17,4,7,1,44,5
12,2,1,9,2,0,2,0,3,4,2,6,5,0,5,0,0,0,0,0,0,0
13,59,58,1855,138,32,113,57,598,326,11,2450,39,20,55,3,250,5,15,1,164,13
14,27,26,1227,53,21,49,25,268,162,13,1688,57,25,78,4,144,3,30,3,81,9
15,18,17,491,39,9,32,16,187,119,9,1406,41,26,63,4,168,1,27,0,67,8
16,55,54,1786,133,27,107,53,578,318,21,5867,155,153,300,7,349,4,66,2,322,3
17,10,9,154,22,3,17,8,72,42,7,563,43,10,49,3,100,0,6,0,28,2
18,29,28,848,52,28,53,27,285,158,11,3486,103,51,147,6,244,4,28,1,183,2
19,25,24,675,58,11,46,23,250,146,10,1741,76,36,108,4,159,3,30,0,96,3
20,24,23,488,56,10,44,22,208,111,12,2033,75,64,132,6,179,3,45,0,132,3
21,9,8,118,18,3,14,7,50,30,6,708,42,24,61,5,110,0,2,0,34,3
22,2,1,9,2,0,2,0,3,4,2,6,5,0,5,0,0,0,0,0,0,0
23,11,10,241,20,7,18,9,78,51,9,568,73,11,81,3,32,1,26,2,75,3
24,39,38,894,90,22,75,37,355,182,10,1195,40,21,58,3,119,6,26,1,158,8
